Problem_Id	Problem_link	Category_1	Category_2	Category_3	Category_4	Dificulty 	Solved
1792F2	https://codeforces.com/problemset/problem/1792/F2	brute force	combinatorics	divide and conquer	dp	2900	x200
1792F1	https://codeforces.com/problemset/problem/1792/F1	combinatorics	dp	graphs		2700	
1792E	https://codeforces.com/problemset/problem/1792/E	brute force	dfs and similar	dp	number theory	2400	x772
1792D	https://codeforces.com/problemset/problem/1792/D	binary search	bitmasks	data structures	hashing	1700	
1792C	https://codeforces.com/problemset/problem/1792/C	binary search	brute force	greedy	math	1500	x7542
1792B	https://codeforces.com/problemset/problem/1792/B	greedy	math			1200	
1792A	https://codeforces.com/problemset/problem/1792/A	greedy	sortings			800	x19737
1791G2	https://codeforces.com/problemset/problem/1791/G2	binary search	greedy	sortings		1900	
1791G1	https://codeforces.com/problemset/problem/1791/G1	greedy	sortings			1100	x12432
1791F	https://codeforces.com/problemset/problem/1791/F	binary search	brute force	data structures		1500	
1791E	https://codeforces.com/problemset/problem/1791/E	dp	greedy	sortings		1100	x15040
1791D	https://codeforces.com/problemset/problem/1791/D	brute force	greedy	strings		1000	
1791C	https://codeforces.com/problemset/problem/1791/C	implementation	two pointers			800	x24591
1791B	https://codeforces.com/problemset/problem/1791/B	geometry	implementation			800	
1791A	https://codeforces.com/problemset/problem/1791/A	implementation	strings			800	x29455
1790G	https://codeforces.com/problemset/problem/1790/G	constructive algorithms	dfs and similar	graphs	shortest paths	2300	
1790F	https://codeforces.com/problemset/problem/1790/F	brute force	dfs and similar	divide and conquer	graphs	2100	x1845
1790E	https://codeforces.com/problemset/problem/1790/E	bitmasks	constructive algorithms			1400	
1790D	https://codeforces.com/problemset/problem/1790/D	data structures	greedy	sortings		1200	x10967
1790C	https://codeforces.com/problemset/problem/1790/C	brute force	implementation	math		1000	
1790B	https://codeforces.com/problemset/problem/1790/B	greedy	greedy	math		800	x20006
1790A	https://codeforces.com/problemset/problem/1790/A	implementation	math	strings		800	
1787I	https://codeforces.com/problemset/problem/1787/I	data structures	divide and conquer	two pointers		3400	x57
1787H	https://codeforces.com/problemset/problem/1787/H	binary search	data structures	dp	geometry	3300	
1787G	https://codeforces.com/problemset/problem/1787/G	brute force	data structures	trees		3000	x214
1787F	https://codeforces.com/problemset/problem/1787/F	constructive algorithms	implementation	math		2500	
1787E	https://codeforces.com/problemset/problem/1787/E	bitmasks	constructive algorithms	greedy	math	2100	x1444
1787D	https://codeforces.com/problemset/problem/1787/D	combinatorics	dfs and similar	dsu	graphs	1900	
1787C	https://codeforces.com/problemset/problem/1787/C	dp	greedy	math		1600	x4366
1787B	https://codeforces.com/problemset/problem/1787/B	greedy	math	number theory		1100	
1787A	https://codeforces.com/problemset/problem/1787/A	constructive algorithms	math			800	x15026
1783G	https://codeforces.com/problemset/problem/1783/G	data structures	divide and conquer	implementation	trees	2800	x274
1783F	https://codeforces.com/problemset/problem/1783/F	dfs and similar	flows	graph matchings	graphs	2500	
1783E	https://codeforces.com/problemset/problem/1783/E	brute force	data structures	math	number theory	2300	x1495
1783D	https://codeforces.com/problemset/problem/1783/D	brute force	dp	implementation		2000	
1783C	https://codeforces.com/problemset/problem/1783/C	binary search	greedy	sortings		1700	x6607
1783B	https://codeforces.com/problemset/problem/1783/B	constructive algorithms	math			1100	
1783A	https://codeforces.com/problemset/problem/1783/A	constructive algorithms	math	sortings		800	x21583
1781H2	https://codeforces.com/problemset/problem/1781/H2					3500	
1781H1	https://codeforces.com/problemset/problem/1781/H1					3200	x73
1781G	https://codeforces.com/problemset/problem/1781/G	constructive algorithms	trees			3200	
