Serial,username,Status
1,mehrunesartem,Expert
2,klu_2000030422,Newbie
3,bkifhr9,"Unrated,"
4,lyova.hun,Newbie
5,XG0000,Candidate
6,eryue,Candidate
7,rainboy,Candidate
8,AI_COre,Master
9,wety,Newbie
10,NoPotato,Grandmaster
11,YeahPotato,Expert
13,Tadapally,"Unrated,"
14,happycrazzy,Pupil
15,phineas__0709,Pupil
16,fireskydd,Grandmaster
17,XZC__Bobby,Master
18,Vanthoci,Expert
19,Kavin2002,"Unrated,"
20,imle,International
21,Hanghang007,Master
22,bstiat.,Expert
25,_dark_sky_2OO3,Pupil
26,Xu_Hongxi,Candidate
27,Pyqe,International
28,wangzheng2008,Candidate
29,toam,Grandmaster
30,aymanriadsolh,Master
31,chenkuowen,Grandmaster
32,KirimaSharo,Expert
33,erkam,Master
34,-Victory,Pupil
36,zwh2008,Master
37,-skyline-,International
38,SpadeA261,Candidate
39,TwoJie,Master
40,inaFSTream,Legendary
41,Peanut_Tang,Expert
42,lukas1204,Newbie
44,Antichain,Expert
45,YangZJ_,Pupil
46,Vassu05,Expert
47,Kubic,International
49,vvyixel,Master
50,NRolly,Master
51,hl666,Expert
52,jqbgdtht,Newbie
54,vjudge5,"Unrated,"
55,7963188,"Unrated,"
56,cylyyds123,Expert
57,Shirost,Candidate
58,Sh1yuhang2008,Expert
59,MateoCV,Grandmaster
60,Ana_naS,Master
61,HaPpY1213,Candidate
62,lxyzlz1,Newbie
63,suyiheng,Grandmaster
64,luogu_bot1,"Unrated,"
65,zyl19416,Master
66,vjudge4,"Unrated,"
67,1213James,Master
68,Flamire,International
69,Kanate,Candidate
70,ai_dev_master,International
71,kaiboy,Specialist
72,bkifhr6,"Unrated,"
73,DongXuelian,Master
74,prathamesh007,Newbie
75,paopaooux,Expert
76,Ra16bit,Grandmaster
77,hehepig,Expert
78,_Diu_,Master
79,one_more_night,Pupil
80,yimuhua,Newbie
81,bkifhr10,"Unrated,"
82,IOMO,Grandmaster
83,haoren258,Newbie
