id,id href,dark,notice,notice 2,notice 3,notice 4,ProblemRating
1774H,https://codeforces.com/problemset/problem/1774/H,,constructive algorithms,,,,3500
1774G,https://codeforces.com/problemset/problem/1774/G,Segment Covering,brute force,combinatorics,constructive algorithms,data structures,3200
1774F2,https://codeforces.com/problemset/problem/1774/F2,,binary search,brute force,data structures,implementation,2700
1774F1,https://codeforces.com/problemset/problem/1774/F1,Magician and Pigs (Easy Version),brute force,data structures,implementation,,2400
1774E,https://codeforces.com/problemset/problem/1774/E,,dfs and similar,dp,greedy,trees,1900
1774D,https://codeforces.com/problemset/problem/1774/D,Same Count One,brute force,constructive algorithms,greedy,implementation,1600
1774C,https://codeforces.com/problemset/problem/1774/C,,constructive algorithms,dp,greedy,,1300
1774B,https://codeforces.com/problemset/problem/1774/B,Coloring,constructive algorithms,greedy,math,,1500
1774A,https://codeforces.com/problemset/problem/1774/A,,constructive algorithms,math,,,800
1773L,https://codeforces.com/problemset/problem/1773/L,Lisa's Sequences,dp,,,,3500
1773K,https://codeforces.com/problemset/problem/1773/K,,constructive algorithms,,,,1900
1773J,https://codeforces.com/problemset/problem/1773/J,Jumbled Trees,constructive algorithms,math,,,2900
1773I,https://codeforces.com/problemset/problem/1773/I,,brute force,games,implementation,interactive,2500
1773H,https://codeforces.com/problemset/problem/1773/H,Hot and Cold,binary search,interactive,,,2600
1773G,https://codeforces.com/problemset/problem/1773/G,,bitmasks,combinatorics,dp,fft,2800
1773F,https://codeforces.com/problemset/problem/1773/F,Football,constructive algorithms,,,,800
1773E,https://codeforces.com/problemset/problem/1773/E,,greedy,sortings,,,1400
1773D,https://codeforces.com/problemset/problem/1773/D,Dominoes,combinatorics,flows,graph matchings,greedy,2600
1773C,https://codeforces.com/problemset/problem/1773/C,,,,,,3500
1773B,https://codeforces.com/problemset/problem/1773/B,BinCoin,binary search,divide and conquer,hashing,implementation,2200
1773A,https://codeforces.com/problemset/problem/1773/A,,constructive algorithms,graph matchings,math,probabilities,1900
1772G,https://codeforces.com/problemset/problem/1772/G,Gaining Rating,binary search,greedy,implementation,math,2200
1772F,https://codeforces.com/problemset/problem/1772/F,,constructive algorithms,dfs and similar,graphs,implementation,2000
1772E,https://codeforces.com/problemset/problem/1772/E,Permutation Game,games,,,,1700
1772D,https://codeforces.com/problemset/problem/1772/D,,constructive algorithms,math,,,1400
1772C,https://codeforces.com/problemset/problem/1772/C,Different Differences,constructive algorithms,greedy,math,,1000
1772B,https://codeforces.com/problemset/problem/1772/B,,brute force,implementation,,,800
1772A,https://codeforces.com/problemset/problem/1772/A,A+B?,implementation,,,,800
1771F,https://codeforces.com/problemset/problem/1771/F,,binary search,bitmasks,data structures,hashing,2500
1771E,https://codeforces.com/problemset/problem/1771/E,Hossam and a Letter,brute force,dp,implementation,two pointers,2500
1771D,https://codeforces.com/problemset/problem/1771/D,,brute force,data structures,dfs and similar,dp,2100
1771C,https://codeforces.com/problemset/problem/1771/C,Hossam and Trainees,greedy,math,number theory,,1600
1771B,https://codeforces.com/problemset/problem/1771/B,,binary search,constructive algorithms,dp,two pointers,1400
1771A,https://codeforces.com/problemset/problem/1771/A,Hossam and Combinatorics,combinatorics,math,sortings,,900
1770H,https://codeforces.com/problemset/problem/1770/H,,constructive algorithms,,,,
1770G,https://codeforces.com/problemset/problem/1770/G,Koxia and Bracket,divide and conquer,fft,math,,
1770F,https://codeforces.com/problemset/problem/1770/F,,bitmasks,combinatorics,dp,math,
1770E,https://codeforces.com/problemset/problem/1770/E,Koxia and Tree,combinatorics,dfs and similar,dp,dsu,
1770D,https://codeforces.com/problemset/problem/1770/D,,constructive algorithms,data structures,dfs and similar,dsu,
1770C,https://codeforces.com/problemset/problem/1770/C,Koxia and Number Theory,brute force,chinese remainder theorem,math,number theory,
1770B,https://codeforces.com/problemset/problem/1770/B,,constructive algorithms,,,,
1770A,https://codeforces.com/problemset/problem/1770/A,Koxia and Whiteboards,brute force,greedy,,,
1769D3,https://codeforces.com/problemset/problem/1769/D3,,*special problem,brute force,,,2300
1769D2,https://codeforces.com/problemset/problem/1769/D2,Игра в Девятку II,*special problem,brute force,,,2200
1769D1,https://codeforces.com/problemset/problem/1769/D1,,*special problem,brute force,dp,,1800
1769C2,https://codeforces.com/problemset/problem/1769/C2,Подкрутка II,*special problem,dp,,,1300
1769C1,https://codeforces.com/problemset/problem/1769/C1,,*special problem,brute force,dp,greedy,1200
1769B2,https://codeforces.com/problemset/problem/1769/B2,Копирование файлов II,*special problem,binary search,brute force,math,1400
1769B1,https://codeforces.com/problemset/problem/1769/B1,,*special problem,brute force,implementation,math,1000
1769A,https://codeforces.com/problemset/problem/1769/A,Узкая дорога,*special problem,math,,,800
1768F,https://codeforces.com/problemset/problem/1768/F,,dp,greedy,,,
1768E,https://codeforces.com/problemset/problem/1768/E,Partial Sorting,combinatorics,math,number theory,,
1768D,https://codeforces.com/problemset/problem/1768/D,,constructive algorithms,dfs and similar,dsu,graphs,
1768C,https://codeforces.com/problemset/problem/1768/C,Elemental Decompress,constructive algorithms,greedy,implementation,sortings,
1768B,https://codeforces.com/problemset/problem/1768/B,,greedy,math,,,
1768A,https://codeforces.com/problemset/problem/1768/A,Greatest Convex,greedy,math,number theory,,
1767F,https://codeforces.com/problemset/problem/1767/F,,data structures,trees,,,3100
